Dates,Song,Artist
2020-02-01,Darkness,Eminem
2020-02-01,Those Kinda Nights,Eminem Feat. Ed Sheeran
2020-02-01,Unaccommodating,Eminem Feat. Young M.A
2020-02-01,Blue World,Mac Miller
2020-02-01,Circles,Mac Miller
2020-02-01,You Gon' Learn,"Eminem Feat. Royce da 5'9"" & White Gold"
2020-02-01,Black Swan,BTS
2020-02-01,P*$$y Fairy (OTW),Jhene Aiko
2020-02-01,Leaving Heaven,Eminem Feat. Skylar Grey
2020-02-01,Complicated,Mac Miller
2020-02-01,Hand Me Downs,Mac Miller
2020-02-01,Premonition (Intro),Eminem
2020-02-01,I Can See,Mac Miller
2020-02-01,In Too Deep,Eminem
2020-02-01,Woods,Mac Miller
2020-02-01,Everybody,Mac Miller
2020-02-01,Marsh,Eminem
2020-02-01,No Regrets,Eminem Feat. Don Toliver
2020-02-01,Lock It Up,Eminem Feat. Anderson .Paak
2020-02-01,Surf,Mac Miller
2020-02-01,Stepdad,Eminem
2020-02-01,That's On Me,Mac Miller
2020-02-08,B.I.T.C.H.,Megan Thee Stallion
2020-02-08,Anyone,Demi Lovato
2020-02-08,Letter To Nipsey,Meek Mill Feat. Roddy Ricch
2020-02-08,Chasin' You,Morgan Wallen
2020-02-08,Before You Go,Lewis Capaldi
2020-02-08,Homemade,Jake Owen
2020-02-08,Underdog,Alicia Keys
2020-02-08,First Man,Camila Cabello
2020-02-08,What If I Told You That I Love You,Ali Gatie
2020-02-08,Catch,Brett Young
2020-02-08,Dive Bar,Garth Brooks & Blake Shelton
2020-02-15,I Do It,Lil Wayne Feat. Big Sean & Lil Baby
2020-02-15,Only The Young,Taylor Swift
2020-02-15,Physical,Dua Lipa
2020-02-15,Mahogany,Lil Wayne
2020-02-15,King Of My City,A Boogie Wit da Hoodie
2020-02-15,Mama Mia,Lil Wayne
2020-02-15,Funeral,Lil Wayne
2020-02-15,Nice To Meet Ya,Meghan Trainor Feat. Nicki Minaj
2020-02-15,Get Me,Justin Bieber Feat. Kehlani
2020-02-22,Intentions,Justin Bieber Feat. Quavo
2020-02-22,Yikes,Nicki Minaj
2020-02-22,Know Your Worth,Khalid x Disclosure
2020-02-22,Blueberry Faygo,Lil Mosey
2020-02-22,Run,Joji
2020-02-22,KEII,Anuel AA
2020-02-22,Believe,Meek Mill Feat. Justin Timberlake
2020-02-22,Whats Poppin,"Jack Harlow Feat. DaBaby, Tory Lanez & Lil Wayne"
2020-02-22,No Judgement,Niall Horan
2020-02-29,No Time To Die,Billie Eilish
2020-02-29,Numbers,"A Boogie Wit da Hoodie Feat. Roddy Ricch, Gunna & London On Da Track"
2020-02-29,Forever,Justin Bieber Feat. Post Malone & Clever
2020-02-29,To Die For,Sam Smith
2020-02-29,g n f (Give No Fxk),"Migos, Young Thug & Travis Scott"
2020-02-29,Dior,Pop Smoke
2020-02-29,Me And My Guitar,A Boogie Wit da Hoodie
2020-02-29,Go Stupid,Polo G Feat. NLE Choppa & Stunna 4 Vegas
2020-02-29,Might Not Give Up,A Boogie Wit da Hoodie Feat. Young Thug
2020-02-29,Thug Love,A Boogie Wit da Hoodie
2020-02-29,After Hours,The Weeknd
2020-02-29,Ignorantes,Bad Bunny & Sech
2020-02-29,Stain,A Boogie Wit da Hoodie Feat. DaBaby
2020-02-29,Come Around Me,Justin Bieber
2020-02-29,Cinderella Story,A Boogie Wit da Hoodie
2020-02-29,Habitual,Justin Bieber
2020-02-29,All Around Me,Justin Bieber
2020-03-07,ON,BTS
2020-03-07,Lil Top,YoungBoy Never Broke Again
2020-03-07,Red Eye,YoungBoy Never Broke Again
2020-03-07,Fine By Time,YoungBoy Never Broke Again
2020-03-07,Bad Bad,YoungBoy Never Broke Again
2020-03-07,Knocked Off,YoungBoy Never Broke Again
2020-03-07,Moral Of The Story,Ashe Feat. Niall Horan
2020-03-07,RIP Lil Phat,YoungBoy Never Broke Again
2020-03-07,My Time,BTS
2020-03-07,Long RD,YoungBoy Never Broke Again
2020-03-07,Filter,BTS
2020-03-07,Bat Man,YoungBoy Never Broke Again
2020-03-07,Shake The Room,Pop Smoke Feat. Quavo
2020-03-07,Feel Me,Selena Gomez
2020-03-14,Stupid Love,Lady Gaga
2020-03-14,Heatin Up,Lil Baby & Gunna
2020-03-14,That Way,Lil Uzi Vert
2020-03-14,Commercial,Lil Baby Feat. Lil Uzi Vert
2020-03-14,Live Off My Closet,Lil Baby Feat. Future
2020-03-14,Emotionally Scarred,Lil Baby
2020-03-14,Si Veo A Tu Mama,Bad Bunny
2020-03-14,La Dificil,Bad Bunny
2020-03-14,PTSD,"G Herbo Feat. Chance The Rapper, Juice WRLD & Lil Uzi Vert"
2020-03-14,Grace,Lil Baby & 42 Dugg
2020-03-14,La Santa,Bad Bunny X Daddy Yankee
2020-03-14,Get Ugly,Lil Baby
2020-03-14,No Sucker,Lil Baby & Moneybagg Yo
2020-03-14,How,Lil Baby
2020-03-14,The Other Side,SZA X Justin Timberlake
2020-03-14,Pero Ya No,Bad Bunny
2020-03-14,Forever,Lil Baby Feat. Lil Wayne
2020-03-14,Yo Perreo Sola,Bad Bunny
2020-03-14,Same Thing,Lil Baby
2020-03-14,Safaera,"Bad Bunny, Jowell & Randy & Nengo Flow"
2020-03-14,Bichiyal,Bad Bunny & Yaviah
2020-03-14,We Should,Lil Baby & Young Thug
2020-03-14,Solia,Bad Bunny
2020-03-14,Esta Cabron Ser Yo,Bad Bunny X Anuel AA
2020-03-14,Sunday Best,Surfaces
2020-03-14,Can't Explain,Lil Baby
2020-03-21,Baby Pluto,Lil Uzi Vert
2020-03-21,Lo Mein,Lil Uzi Vert
2020-03-21,Silly Watch,Lil Uzi Vert
2020-03-21,P2,Lil Uzi Vert
2020-03-21,I Love Me,Demi Lovato
2020-03-21,Homecoming,Lil Uzi Vert
2020-03-21,B.S.,Jhene Aiko Feat. H.E.R.
2020-03-21,Prices,Lil Uzi Vert
2020-03-21,POP,Lil Uzi Vert
2020-03-21,Bigger Than Life,Lil Uzi Vert
2020-03-21,Celebration Station,Lil Uzi Vert
2020-03-21,You Better Move,Lil Uzi Vert
2020-03-21,I'm Sorry,Lil Uzi Vert
2020-03-21,Venetia,Lil Uzi Vert
2020-03-21,Chrome Heart Tags,Lil Uzi Vert
2020-03-21,Bust Me,Lil Uzi Vert
2020-03-21,Happiness Over Everything (H.O.E.),Jhene Aiko Feat. Future & Miguel
2020-03-21,Secure The Bag,Lil Uzi Vert
2020-03-21,Captain Hook,Megan Thee Stallion
2020-03-21,Urgency,Lil Uzi Vert Feat. Syd
2020-03-21,SkyBox,Gunna
2020-03-21,Oprah's Bank Account,"Lil Yachty, Drake & DaBaby"
2020-03-28,Myron,Lil Uzi Vert
2020-03-28,Bean (Kobe),Lil Uzi Vert Feat. Chief Keef
2020-03-28,Yessirskiii,Lil Uzi Vert & 21 Savage
2020-03-28,Lotus,Lil Uzi Vert
2020-03-28,Wassup,Lil Uzi Vert Feat. Future
2020-03-28,Strawberry Peels,Lil Uzi Vert Feat. Young Thug & Gunna
2020-03-28,Moon Relate,Lil Uzi Vert
2020-03-28,I Can Show You,Lil Uzi Vert
2020-03-28,Trap This Way (This Way),Lil Uzi Vert
2020-03-28,Death Bed,Powfu Feat. beabadoobee
2020-03-28,Leaders,Lil Uzi Vert Feat. NAV
2020-03-28,No Auto,Lil Uzi Vert Feat. Lil Durk
2020-03-28,Come This Way,Lil Uzi Vert
2020-03-28,Does To Me,Luke Combs Feat. Eric Church
2020-03-28,Got The Guap,Lil Uzi Vert Feat. Young Thug
2020-03-28,Supalonely,BENEE Feat. Gus Dapperton
2020-03-28,Money Spread,Lil Uzi Vert Feat. Young Nudy
2020-03-28,Cardigan,Don Toliver
2020-03-28,Beer Can't Fix,Thomas Rhett Feat. Jon Pardi
2020-03-28,Savage,Megan Thee Stallion
2020-04-04,In Your Eyes,The Weeknd
2020-04-04,Alone Again,The Weeknd
2020-04-04,Scared To Live,The Weeknd
2020-04-04,Hardest To Love,The Weeknd
2020-04-04,Too Late,The Weeknd
2020-04-04,Snowchild,The Weeknd
2020-04-04,Escape From LA,The Weeknd
2020-04-04,Save Your Tears,The Weeknd & Ariana Grande
2020-04-04,Faith,The Weeknd
2020-04-04,Roses,SAINt JHN
2020-04-04,Repeat After Me (Interlude),The Weeknd
2020-04-04,Until I Bleed Out,The Weeknd
2020-04-04,Walk Em Down,NLE Choppa Feat. Roddy Ricch
2020-04-04,The Other Girl,Kelsea Ballerini x Halsey
2020-04-11,Turks,"NAV, Gunna & Travis Scott"
2020-04-11,Break My Heart,Dua Lipa
2020-04-11,Believe It,PARTYNEXTDOOR & Rihanna
2020-04-11,After A Few,Travis Denning
2020-04-11,I Love My Country,Florida Georgia Line
2020-04-11,Hard To Forget,Sam Hunt
2020-04-11,Last Time I Say Sorry,Kane Brown & John Legend
2020-04-11,If The World Was Ending,JP Saxe Feat. Julia Michaels
2020-04-18,Toosie Slide,Drake
2020-04-18,Find My Way,DaBaby
2020-04-18,Fuck The World,Rod Wave
2020-04-18,Pray 4 Love,Rod Wave
2020-04-18,Be A Light,"Thomas Rhett Feat. Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban"
2020-04-18,Thief In The Night,Rod Wave
2020-04-18,Tycoon,Future
2020-04-18,I Remember,Rod Wave
2020-04-18,The Greatest,Rod Wave
2020-04-18,Bluebird,Miranda Lambert
2020-04-18,Ribbon In The Sky,Rod Wave
2020-04-18,Here And Now,Kenny Chesney
2020-04-18,Thug Life,Rod Wave
2020-04-18,No Weakness,Rod Wave
2020-04-25,Level Of Concern,twenty one pilots
2020-04-25,Stupid Again,Tory Lanez
2020-04-25,Boyfriend,Selena Gomez
2020-04-25,Broke In A Minute,Tory Lanez
2020-04-25,Sigues Con El,Arcangel x Sech
2020-04-25,Die From A Broken Heart,Maddie & Tae
2020-04-25,DND,Polo G
2020-04-25,In Between,Scotty McCreery
2020-04-25,Ride It.,Regard
2020-04-25,Girl Of My Dreams,Rod Wave
2020-04-25,Boss Bitch,Doja Cat
2020-05-02,Rockstar,DaBaby Feat. Roddy Ricch
2020-05-02,Jump,DaBaby Feat. YoungBoy Never Broke Again
2020-05-02,@ MEH,Playboi Carti
2020-05-02,I'm Ready,Sam Smith & Demi Lovato
2020-05-02,PICK UP,DaBaby Feat. Quavo
2020-05-02,NASTY,DaBaby Feat. Ashanti & Megan Thee Stallion
2020-05-02,LIGHTSKIN SH*T,DaBaby Feat. Future & jetsonmade
2020-05-02,More Than My Hometown,Morgan Wallen
2020-05-02,CAN'T STOP,DaBaby
2020-05-02,BLAME IT ON BABY,DaBaby
2020-05-02,SAD SHIT,DaBaby
2020-05-02,DROP,DaBaby Feat. A Boogie Wit da Hoodie & London On Da Track
2020-05-02,TALK ABOUT IT,DaBaby
2020-05-02,CHAMPION,DaBaby
2020-05-02,I Dare You,Kelly Clarkson
2020-05-02,After Party,Don Toliver
2020-05-02,God Whispered Your Name,Keith Urban
2020-05-09,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi"
2020-05-09,Righteous,Juice WRLD
2020-05-09,All In,Lil Baby
2020-05-09,Sasuke,Lil Uzi Vert
2020-05-09,Cool Again,Kane Brown
2020-05-09,Ain't Easy,YoungBoy Never Broke Again
2020-05-09,Party Girl,StaySolidRocky
2020-05-09,Diamonds,YoungBoy Never Broke Again
2020-05-09,Bout My Business,YoungBoy Never Broke Again Feat. Sherhonda Gaulden
2020-05-09,Rough Ryder,YoungBoy Never Broke Again
2020-05-09,Drinking Alone,Carrie Underwood
2020-05-09,Thug Of Spades,YoungBoy Never Broke Again Feat. DaBaby
2020-05-16,Pain 1993,Drake Feat. Playboi Carti
2020-05-16,Chicago Freestyle,Drake Feat. Giveon
2020-05-16,D4L,"Future, Drake & Young Thug"
2020-05-16,Not You Too,Drake Feat. Chris Brown
2020-05-16,Desires,Drake Feat. Future
2020-05-16,Be Kind,Marshmello & Halsey
2020-05-16,Time Flies,Drake
2020-05-16,Deep Pockets,Drake
2020-05-16,Demons,Drake Feat. Fivio Foreign & Sosa Geek
2020-05-16,When To Say When,Drake
2020-05-16,Landed,Drake
2020-05-16,From Florida With Love,Drake
2020-05-16,Losses,Drake
2020-05-16,War,Drake
2020-05-16,Six Feet Apart,Luke Combs
2020-05-16,We Paid,Lil Baby & 42 Dugg
2020-05-16,Social Distancing,Lil Baby
2020-05-16,Low Down,Lil Baby
2020-05-16,Humble,Lil Baby
2020-05-16,One Margarita,Luke Bryan
2020-05-16,Don't Rush,Young T & Bugsey Feat. Headie One
2020-05-23,Stuck With U,Ariana Grande & Justin Bieber
2020-05-23,Gooba,6ix9ine
2020-05-23,3 Headed Goat,Lil Durk Feat. Lil Baby & Polo G
2020-05-23,Can I,Kehlani Feat. Tory Lanez
2020-05-23,Zoo York,Lil Tjay Feat. Fivio Foreign & Pop Smoke
2020-05-23,Toxic,Kehlani
2020-05-23,Go Crazy,Chris Brown & Young Thug
2020-05-23,Change Your Life,Kehlani Feat. Jhene Aiko
2020-05-23,Me Vs Me,Moneybagg Yo
2020-05-23,Viral Moment,Lil Durk
2020-05-30,Flex,Polo G Feat. Juice WRLD
2020-05-30,Solitaires,Future Feat. Travis Scott
2020-05-30,X,Jonas Brothers Feat. Karol G
2020-05-30,Trillionaire,Future Feat. YoungBoy Never Broke Again
2020-05-30,Daisies,Katy Perry
2020-05-30,Trapped In The Sun,Future
2020-05-30,All Bad,Future Feat. Lil Uzi Vert
2020-05-30,Be Something,Polo G Feat. Lil Baby
2020-05-30,Martin & Gina,Polo G
2020-05-30,21,Polo G
2020-05-30,Hard To Choose One,Future
2020-05-30,Ridin Strikers,Future
2020-05-30,Hitek Tek,Future
2020-05-30,Too Comfortable,Future
2020-05-30,Posted With Demons,Future
2020-05-30,Touch The Sky,Future
2020-05-30,One Of My,Future
2020-05-30,Harlem Shake,Future Feat. Young Thug
2020-05-30,Don't Believe The Hype,Polo G
2020-05-30,Beautiful Pain (Losin My Mind),Polo G
2020-05-30,33,Polo G
2020-05-30,I Know,Polo G
2020-06-06,Rain On Me,Lady Gaga & Ariana Grande
2020-06-06,Dollaz On My Head,Gunna Feat. Young Thug
2020-06-06,Cooler Than A Bitch,Gunna Feat. Roddy Ricch
2020-06-06,Top Floor,Gunna Feat. Travis Scott
2020-06-06,Wunna,Gunna
2020-06-06,Blindfold,Gunna Feat. Lil Baby
2020-06-06,Need It,Migos Feat. YoungBoy Never Broke Again
2020-06-06,Argentina,Gunna
2020-06-06,Met Gala,Gunna
2020-06-06,Daechwita,Agust D
2020-06-06,Nasty Girl / On Camera,Gunna
2020-06-06,MOTW,Gunna
2020-06-06,Gimmick,Gunna
2020-06-06,Feigning,Gunna
2020-06-06,ily,Surf Mesa Feat. Emilee
2020-06-13,Sour Candy,Lady Gaga & BLACKPINK
2020-06-13,Tell Me U Luv Me,Juice WRLD & Trippie Redd
2020-06-13,TKN,Rosalia & Travis Scott
2020-06-13,Got What I Got,Jason Aldean
2020-06-13,One Big Country Song,LOCASH
2020-06-13,T.D,"Lil Yachty & Tierra Whack Feat. A$AP Rocky & Tyler, The Creator"
2020-06-13,Alice,Lady Gaga
2020-06-13,Hasta Que Dios Diga,Anuel AA & Bad Bunny
2020-06-13,Why We Drink,Justin Moore
2020-06-13,Lose Somebody,Kygo & OneRepublic
2020-06-13,One Of Them Girls,Lee Brice
2020-06-13,Like That,Doja Cat Feat. Gucci Mane
2020-06-13,One Beer,HARDY Feat. Lauren Alaina & Devin Dawson
2020-06-20,Otherside Of America,Meek Mill
2020-06-20,Deep End Freestyle,Sleepy Hallow
2020-06-20,Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul"
2020-06-20,One Night Standards,Ashley McBryde
2020-06-20,Hard Days,Brantley Gilbert
2020-06-20,Worldwide Beautiful,Kane Brown
2020-06-27,Trollz,6ix9ine & Nicki Minaj
2020-06-27,The Bigger Picture,Lil Baby
2020-06-27,Make It Rain,Pop Smoke Feat. Rowdy Rebel
2020-06-27,Go!,Kid LAROI & Juice WRLD
2020-06-27,Shotta Flow 5,NLE Choppa
2020-06-27,Snow On Tha Bluff,J. Cole
2020-06-27,Tommy Lee,Tyla Yaweh & Post Malone
2020-06-27,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
2020-06-27,Do It,Chloe X Halle
2020-06-27,Done,Chris Janson
2020-06-27,The Man Who Loves You The Most,Zac Brown Band
2020-06-27,Need Me,J.I The Prince Of N.Y
2020-07-04,Black Parade,Beyonce
2020-07-04,Bleed,A Boogie Wit da Hoodie
2020-07-04,My Truck,Breland
2020-07-04,One Shot,YoungBoy Never Broke Again Feat. Lil Baby
2020-07-04,Pretty Heart,Parker McCollum
2020-07-04,Bang!,AJR
2020-07-11,Girls In The Hood,Megan Thee Stallion
2020-07-11,How You Like That,BLACKPINK
2020-07-11,Wash Us In The Blood,Kanye West Feat. Travis Scott
2020-07-11,Know My Rights,6LACK Feat. Lil Baby
2020-07-11,Past Life,Trevor Daniel x Selena Gomez
2020-07-11,Stick That In Your Country Song,Eric Church
2020-07-11,Lovin' On You,Luke Combs
2020-07-11,Rags2Riches,Rod Wave Feat. ATR Son Son
2020-07-11,I Called Mama,Tim McGraw
2020-07-18,For The Night,Pop Smoke Feat. Lil Baby & DaBaby
2020-07-18,The Woo,Pop Smoke Feat. 50 Cent & Roddy Ricch
2020-07-18,Got It On Me,Pop Smoke
2020-07-18,Aim For The Moon,Pop Smoke Feat. Quavo
2020-07-18,Gangstas,Pop Smoke
2020-07-18,44 Bulldog,Pop Smoke
2020-07-18,Something Special,Pop Smoke
2020-07-18,Yea Yea,Pop Smoke
2020-07-18,Mood Swings,Pop Smoke Feat. Lil Tjay
2020-07-18,What You Know Bout Love,Pop Smoke
2020-07-18,Snitchin,Pop Smoke Feat. Quavo & Future
2020-07-18,Bad Bitch From Tokyo (Intro),Pop Smoke
2020-07-18,Enjoy Yourself,Pop Smoke Feat. Karol G
2020-07-18,Creature,Pop Smoke Feat. Swae Lee
2020-07-18,Said Sum,Moneybagg Yo
2020-07-18,West Coast Shit,Pop Smoke Feat. Tyga & Quavo
2020-07-18,Life's A Mess,Juice WRLD X Halsey
2020-07-18,Diana,Pop Smoke Feat. King Combs
2020-07-18,Tunnel Vision (Outro),Pop Smoke
2020-07-18,YaYa,6ix9ine
2020-07-25,Come & Go,Juice WRLD x Marshmello
2020-07-25,Wishing Well,Juice WRLD
2020-07-25,Conversations,Juice WRLD
2020-07-25,Hate The Other Side,Juice WRLD & Marshmello Feat. Polo G & The Kid LAROI
2020-07-25,Blood On My Jeans,Juice WRLD
2020-07-25,Titanic,Juice WRLD
2020-07-25,Bad Energy,Juice WRLD
2020-07-25,The Adventures Of Moon Man & Slim Shady,Kid Cudi & Eminem
2020-07-25,Stay High,Juice WRLD
2020-07-25,Fighting Demons,Juice WRLD
2020-07-25,Up Up And Away,Juice WRLD
2020-07-25,Screw Juice,Juice WRLD
2020-07-25,I Want It,Juice WRLD
2020-07-25,Can't Die,Juice WRLD
2020-07-25,Man Of The Year,Juice WRLD
2020-07-25,Be Like That,Kane Brown With Swae Lee & Khalid
2020-07-25,Let It Go,Summer Walker
2020-07-25,My Affection,Summer Walker & PARTYNEXTDOOR
2020-07-25,Tap In,Saweetie
2020-08-01,Popstar,DJ Khaled Feat. Drake
2020-08-01,Greece,DJ Khaled Feat. Drake
2020-08-01,Breaking Me,Topic & A7S
2020-08-01,the.climb.back,J. Cole
2020-08-08,Cardigan,Taylor Swift
2020-08-08,The 1,Taylor Swift
2020-08-08,Exile,Taylor Swift Feat. Bon Iver
2020-08-08,The Last Great American Dynasty,Taylor Swift
2020-08-08,My Tears Ricochet,Taylor Swift
2020-08-08,August,Taylor Swift
2020-08-08,Mirrorball,Taylor Swift
2020-08-08,Seven,Taylor Swift
2020-08-08,Invisible String,Taylor Swift
2020-08-08,This Is Me Trying,Taylor Swift
2020-08-08,Betty,Taylor Swift
2020-08-08,Illicit Affairs,Taylor Swift
2020-08-08,Nobody's Love,Maroon 5
2020-08-08,Mad Woman,Taylor Swift
2020-08-08,Lion King On Ice,J. Cole
2020-08-08,Happy Anywhere,Blake Shelton Feat. Gwen Stefani
2020-08-08,Epiphany,Taylor Swift
2020-08-08,Peace,Taylor Swift
2020-08-08,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy"
2020-08-08,Hoax,Taylor Swift
2020-08-08,Perfect,Logic
2020-08-15,My Future,Billie Eilish
2020-08-15,Move Ya Hips,A$AP Ferg Feat.  Nicki Minaj & MadeinTYO
2020-08-15,I Should Probably Go To Bed,Dan + Shay
2020-08-15,No Dribble,DaBaby x Stunna 4 Vegas
2020-08-22,WAP,Cardi B Feat. Megan Thee Stallion
2020-08-22,Smile,Juice WRLD & The Weeknd
2020-08-22,Letter From Houston,Rod Wave
2020-08-22,Kings & Queens,Ava Max
2020-08-22,My Ex's Best Friend,Machine Gun Kelly X blackbear
2020-08-22,Mood,24kGoldn Feat. iann dior
2020-08-22,Freestyle,Rod Wave
2020-08-22,Some Girls,Jameson Rodgers
2020-08-22,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka
2020-08-22,B*tch From da Souf,Mulatto
2020-08-29,Laugh Now Cry Later,Drake Feat. Lil Durk
2020-08-29,7 Summers,Morgan Wallen
2020-08-29,Midnight Sky,Miley Cyrus
2020-08-29,Kacey Talk,YoungBoy Never Broke Again
2020-08-29,Heather,Conan Gray
2020-08-29,Lemonade,Internet Money & Gunna Feat. Don Toliver & NAV
2020-08-29,24,Money Man Feat. Lil Baby
2020-08-29,Caramelo,Ozuna x Karol G x Myke Towers
2020-08-29,Lonely If You Are,Chase Rice
2020-09-05,Dynamite,BTS
2020-09-05,The Plan,Travis Scott
2020-09-05,Hawai,Maluma & The Weeknd
2020-09-05,All In,YoungBoy Never Broke Again
2020-09-05,You Broke Me First.,Tate McRae
2020-09-05,Spicy,Nas Feat. Fivio Foreign & A$AP Ferg
2020-09-12,Ice Cream,BLACKPINK X Selena Gomez
2020-09-12,Over Now,Calvin Harris X The Weeknd
2020-09-12,Starting Over,Chris Stapleton
2020-09-12,Blastoff,Internet Money Feat. Juice WRLD & Trippie Redd
2020-09-12,Expensive,Ty Dolla $ign Feat. Nicki Minaj
2020-09-12,Lets Link,WhoHeem
2020-09-12,Ain't Always The Cowboy,Jon Pardi
2020-09-19,Hit Different,SZA Feat. Ty Dolla $ign
2020-09-19,The Voice,Lil Durk
2020-09-19,Relacion,"Sech, Daddy Yankee & J Balvin Feat. Rosalia & Farruko"
2020-09-19,Wolves,Big Sean Feat. Post Malone
2020-09-19,Lithuania,Big Sean Feat. Travis Scott
2020-09-19,Deep Reverence,Big Sean Feat. Nipsey Hussle
2020-09-19,Love You Like I Used To,Russell Dickerson
2020-09-19,Body Language,Big Sean Feat. Ty Dolla $ign & Jhene Aiko
2020-09-19,Everywhere But On,Matt Stell
2020-09-19,Why Would I Stop?,Big Sean
2020-09-26,My Window,YoungBoy Never Broke Again Feat. Lil Wayne
2020-09-26,OK Not To Be OK,Marshmello & Demi Lovato
2020-09-26,Drug Addiction,YoungBoy Never Broke Again
2020-09-26,Gone Too Soon,Andrew Jannakos
2020-09-26,Dead Trollz,YoungBoy Never Broke Again
2020-09-26,Cross Roads,YoungBoy Never Broke Again
2020-09-26,The Last Backyard...,YoungBoy Never Broke Again
2020-09-26,Right Foot Creep,YoungBoy Never Broke Again
2020-09-26,You Got It,VEDO
2020-09-26,Dirty Stick,YoungBoy Never Broke Again
2020-10-03,Holy,Justin Bieber Feat. Chance The Rapper
2020-10-03,Diamonds,Sam Smith
2020-10-03,One Too Many,Keith Urban Duet With P!nk
2020-10-03,Without You,Luke Combs Feat. Amanda Shires
2020-10-03,Dolly,Lil Tecca & Lil Uzi Vert
2020-10-03,When You Down,Lil Tecca & Polo G Feat. Lil Durk
2020-10-03,Me Gusta,Anitta Feat. Cardi B & Myke Towers
2020-10-03,Wet. (She Got That...) ,YFN Lucci
2020-10-03,Whole Lotta Choppas,Sada Baby Feat. Nicki Minaj
2020-10-03,Blind,DaBaby Feat. Young Thug
2020-10-10,Franchise,Travis Scott Feat. Young Thug & M.I.A.
2020-10-10,Forget Me Too,Machine Gun Kelly & Halsey
2020-10-10,Epidemic,Polo G
2020-10-10,Bloody Valentine,Machine Gun Kelly
2020-10-10,U 2 Luv,Ne-Yo & Jeremih
2020-10-10,Better,Zayn
2020-10-10,Drunk Face,Machine Gun Kelly
2020-10-10,"Big, Big Plans",Chris Lane
2020-10-10,"Ay, Dios Mio!",Karol G
2020-10-10,Good Time,Niko Moon
2020-10-10,Put Your Records On,Ritt Momney
2020-10-10,Money Over Fallouts,Tory Lanez
2020-10-17,Runnin,21 Savage & Metro Boomin
2020-10-17,Mr. Right Now,21 Savage & Metro Boomin Feat. Drake
2020-10-17,Wonder,Shawn Mendes
2020-10-17,Glock In My Lap,21 Savage & Metro Boomin
2020-10-17,Dreams,Fleetwood Mac
2020-10-17,Rich N*gga Sh*t,21 Savage & Metro Boomin Feat. Young Thug
2020-10-17,Don't Stop,Megan Thee Stallion Feat. Young Thug
2020-10-17,Slidin,21 Savage & Metro Boomin
2020-10-17,Many Men,21 Savage & Metro Boomin
2020-10-17,Fallin',Why Don't We
2020-10-17,Outta Time,Bryson Tiller Feat. Drake
2020-10-17,My Dawg,21 Savage & Metro Boomin
2020-10-17,Brand New Draco,21 Savage & Metro Boomin
2020-10-17,Lovesick Girls,BLACKPINK
2020-10-17,Snitches & Rats,21 Savage & Metro Boomin Feat. Young Nudy
2020-10-17,No Opp Left Behind,21 Savage & Metro Boomin
2020-10-17,Levitating,Dua Lipa
2020-10-17,Steppin On N*ggas,21 Savage & Metro Boomin
2020-10-17,RIP Luv,21 Savage & Metro Boomin
2020-10-17,Always Forever,Bryson Tiller
2020-10-17,Years Go By,Bryson Tiller
2020-10-17,Said N Done,21 Savage & Metro Boomin
2020-10-24,"Baby, I'm Jealous",Bebe Rexha Feat. Doja Cat
2020-10-24,Hole In The Bottle,Kelsea Ballerini
2020-10-24,Sofia,Clairo
2020-10-31,Lonely,Justin Bieber & benny blanco
2020-10-31,You're Mines Still,Yung Bleu Feat. Drake
2020-10-31,Hate The Way,G-Eazy Feat. blackbear
2020-10-31,Canceled,Larray
2020-10-31,Happy Does,Kenny Chesney
2020-10-31,Throat Baby (Go Baby),BRS Kash
2020-10-31,Pardon,T.I. Feat. Lil Baby
2020-10-31,Champagne Night,Lady A
2020-11-07,Positions,Ariana Grande
2020-11-07,Forever After All,Luke Combs
2020-11-07,Tyler Herro,Jack Harlow
2020-11-07,Spicy,Ty Dolla $ign Feat. Post Malone
2020-11-07,The Other Guy,Luke Combs
2020-11-07,Damage,H.E.R.
2020-11-07,Back To The Streets,Saweetie Feat. Jhene Aiko
2020-11-07,So Done,The Kid LAROI
2020-11-07,Cold As You,Luke Combs
2020-11-07,Practice,DaBaby
2020-11-07,La Toxica,Farruko
2020-11-07,Head & Heart,Joel Corry X MNEK
2020-11-07,"Wine, Beer, Whiskey",Little Big Town
2020-11-14,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion
2020-11-14,Dakiti,Bad Bunny & Jhay Cortez
2020-11-14,Motive,Ariana Grande Feat. Doja Cat
2020-11-14,Off The Table,Ariana Grande Feat. The Weeknd
2020-11-14,pov,Ariana Grande
2020-11-14,Just Like Magic,Ariana Grande
2020-11-14,Shut Up,Ariana Grande
2020-11-14,Nasty,Ariana Grande
2020-11-14,Safety Net,Ariana Grande Feat. Ty Dolla $ign
2020-11-14,Six Thirty,Ariana Grande
2020-11-14,My Hair,Ariana Grande
2020-11-14,Obvious,Ariana Grande
2020-11-14,West Side,Ariana Grande
2020-11-14,Love Language,Ariana Grande
